id,shape,size,blocking_var,z,acidity,texture,sweetness,flavor,total
1,0,1,3,0,5,4,5,5,19
2,0,1,3,1,3,5,5,4,17
3,0,1,3,1,5,4,5,3,17
4,0,0,1,0,3,4,4,3,14
5,1,2,6,0,5,5,3,5,18
6,1,0,2,0,3,4,3,4,14
7,0,1,3,0,3,5,2,4,14
8,1,1,4,1,4,2,5,2,13
9,0,1,3,1,3,4,4,5,16
10,1,1,4,0,5,4,3,3,15
11,0,0,1,1,3,2,5,3,13
12,0,0,1,0,4,4,4,2,14
13,0,2,5,0,4,5,3,3,15
14,0,1,3,0,4,4,2,4,14
15,0,1,3,1,4,2,5,2,13
16,1,0,2,1,4,3,5,4,16
17,1,1,4,1,5,5,4,3,17
18,0,2,5,1,5,3,3,5,16
19,0,1,3,1,5,4,4,5,18
20,0,0,1,0,3,4,2,5,14
21,0,0,1,1,4,5,4,2,15
22,1,2,6,0,5,5,3,4,17
23,0,1,3,1,5,4,5,3,17
24,0,1,3,0,3,4,2,3,12
25,0,0,1,0,4,5,3,3,15
26,1,1,4,0,4,5,4,5,18
27,1,2,6,1,3,4,4,5,16
28,0,1,3,1,5,5,4,2,16
29,1,1,4,0,5,4,4,5,18
30,0,1,3,0,4,4,3,4,15
31,0,1,3,1,5,4,5,5,19
32,0,2,5,1,5,2,5,4,16
33,0,1,3,0,5,4,3,3,15
34,0,1,3,0,3,4,2,3,12
35,0,1,3,0,5,5,5,5,20
36,0,0,1,1,3,4,4,4,15
37,1,1,4,1,5,4,5,5,19
38,1,2,6,1,3,3,5,3,14
39,0,0,1,1,5,5,4,3,17
40,0,2,5,0,3,5,4,4,16
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
